"sreg","ac_full_type","msn","body_type","type_of_big_part","ori_position","created_on","start_period","end_period","flight_cycle","flight_hour"
PK-GFR,B737-800NG,"39417",NB,AIRFRAME,,2020-02-07 16:06:06,2020-01-01 00:00:00,2020-01-31 00:00:00,125,"240:18:00"
PK-GFR,B737-800NG,"39417",NB,ENGINE,Pos 1,2020-02-07 16:06:06,2020-01-01 00:00:00,2020-01-31 00:00:00,111,"212:18:00"
PK-GFR,B737-800NG,"39417",NB,ENGINE,Pos 2,2020-02-07 16:06:06,2020-01-01 00:00:00,2020-01-31 00:00:00,97,"118:46:00"
PK-GFR,B737-800NG,"39417",NB,APU,,2020-02-07 16:06:06,2020-01-01 00:00:00,2020-01-31 00:00:00,174,"232:00:00"
PK-GFR,B737-800NG,"39417",NB,LG,,2020-02-07 16:06:06,2020-01-01 00:00:00,2020-01-31 00:00:00,125,"240:18:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,AIRFRAME,,2020-02-12 19:36:25,2019-12-01 00:00:00,2019-12-31 00:00:00,218,"202:49:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,APU,,2020-02-12 19:36:25,2019-12-01 00:00:00,2019-12-31 00:00:00,152,"173:00:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,ENGINE,Pos 1,2020-02-12 19:36:25,2019-12-01 00:00:00,2019-12-31 00:00:00,218,"202:49:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,ENGINE,Pos 2,2020-02-12 19:36:25,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,LG,,2020-02-12 19:36:25,2019-12-01 00:00:00,2019-12-31 00:00:00,218,"202:49:00"
PK-GAD,ATR72-600,"1140",NB,AIRFRAME,,2020-01-07 13:27:17,2019-12-01 00:00:00,2019-12-31 00:00:00,64,"041:48:00"
PK-GAD,ATR72-600,"1140",NB,ENGINE,Pos 1,2020-01-07 13:27:17,2019-12-01 00:00:00,2019-12-31 00:00:00,64,"041:48:00"
PK-GAD,ATR72-600,"1140",NB,ENGINE,Pos 2,2020-01-07 13:27:17,2019-12-01 00:00:00,2019-12-31 00:00:00,56,"090:29:00"
PK-GAD,ATR72-600,"1140",NB,LG,,2020-01-07 13:27:17,2019-12-01 00:00:00,2019-12-31 00:00:00,64,"041:48:00"
PK-GAD,ATR72-600,"1140",NB,PROPELLER,,2020-01-07 13:27:17,2019-12-01 00:00:00,2019-12-31 00:00:00,64,"041:48:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,AIRFRAME,,2019-12-25 10:34:55,2019-11-01 00:00:00,2019-11-30 00:00:00,131,"130:10:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,APU,,2019-12-25 10:34:55,2019-11-01 00:00:00,2019-11-30 00:00:00,0,"000:00:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,ENGINE,Pos 1,2019-12-25 10:34:55,2019-11-01 00:00:00,2019-11-30 00:00:00,47,"066:25:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,ENGINE,Pos 2,2019-12-25 10:34:55,2019-11-01 00:00:00,2019-11-30 00:00:00,65,"087:02:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,LG,,2019-12-25 10:34:55,2019-11-01 00:00:00,2019-11-30 00:00:00,131,"130:10:00"
PK-GFV,B737-800NG,"38885",NB,AIRFRAME,,2020-01-10 07:15:40,2019-12-01 00:00:00,2019-12-31 00:00:00,153,"178:00:00"
PK-GFV,B737-800NG,"38885",NB,APU,,2020-01-10 07:15:40,2019-12-01 00:00:00,2019-12-31 00:00:00,197,"279:00:00"
PK-GFV,B737-800NG,"38885",NB,ENGINE,Pos 1,2020-01-10 07:15:40,2019-12-01 00:00:00,2019-12-31 00:00:00,179,"200:44:00"
PK-GFV,B737-800NG,"38885",NB,ENGINE,Pos 2,2020-01-10 07:15:40,2019-12-01 00:00:00,2019-12-31 00:00:00,138,"271:17:00"
PK-GFV,B737-800NG,"38885",NB,LG,,2020-01-10 07:15:40,2019-12-01 00:00:00,2019-12-31 00:00:00,153,"178:00:00"
PK-GMY,B737-800NG,"38884",NB,AIRFRAME,,2020-01-10 07:18:40,2019-12-01 00:00:00,2019-12-31 00:00:00,167,"198:32:00"
